13:49:29.893 DB not initialized, please visit setup page - http://[your-server-host]:8080 to see instructions on how to initialize Trilium.
13:49:29.895 DB size: 4 KB
13:49:30.508 {
  "appVersion": "0.61.14",
  "dbVersion": 227,
  "syncVersion": 31,
  "buildDate": "2023-11-16T00:21:34+01:00",
  "buildRevision": "0afc41060a935a46642a082128bea5002c2410e1",
  "dataDirectory": "/home/node/trilium-data",
  "clipperProtocolVersion": "1.0",
  "utcDateTime": "2023-11-30T13:49:29.683Z"
}
13:49:30.508 CPU model: Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz, logical cores: 12 freq: 3870 Mhz
13:49:30.508 Trusted reverse proxy: false
13:49:30.509 App HTTP server starting up at port 8080
14:55:24.421 Error: Router not found for request /apis?timeout=32s
14:55:26.496 Error: Router not found for request /api?timeout=32s
14:55:26.497 Error: Router not found for request /apis?timeout=32s
14:55:26.499 Error: Router not found for request /api?timeout=32s
14:55:26.507 Error: Router not found for request /apis?timeout=32s
14:55:26.508 Error: Router not found for request /api?timeout=32s
14:55:26.510 Error: Router not found for request /apis?timeout=32s
14:55:26.511 Error: Router not found for request /api?timeout=32s
14:55:26.512 Error: Router not found for request /apis?timeout=32s
14:55:26.514 Error: Router not found for request /api?timeout=32s
14:55:26.515 Error: Router not found for request /apis?timeout=32s
14:55:28.593 Error: Router not found for request /api?timeout=32s
14:55:28.595 Error: Router not found for request /apis?timeout=32s
14:55:28.596 Error: Router not found for request /api?timeout=32s
14:55:28.605 Error: Router not found for request /apis?timeout=32s
14:55:28.607 Error: Router not found for request /api?timeout=32s
14:55:28.608 Error: Router not found for request /apis?timeout=32s
14:55:28.609 Error: Router not found for request /api?timeout=32s
14:55:28.610 Error: Router not found for request /apis?timeout=32s
14:55:28.611 Error: Router not found for request /api?timeout=32s
14:55:28.612 Error: Router not found for request /apis?timeout=32s
14:55:30.689 Error: Router not found for request /api?timeout=32s
14:55:30.690 Error: Router not found for request /apis?timeout=32s
14:55:30.692 Error: Router not found for request /api?timeout=32s
14:55:30.701 Error: Router not found for request /apis?timeout=32s
14:55:30.702 Error: Router not found for request /api?timeout=32s
14:55:30.703 Error: Router not found for request /apis?timeout=32s
14:55:30.704 Error: Router not found for request /api?timeout=32s
14:55:30.706 Error: Router not found for request /apis?timeout=32s
14:55:30.707 Error: Router not found for request /api?timeout=32s
14:55:30.708 Error: Router not found for request /apis?timeout=32s
14:55:32.804 Error: Router not found for request /api?timeout=32s
14:55:32.806 Error: Router not found for request /apis?timeout=32s
14:55:32.808 Error: Router not found for request /api?timeout=32s
14:55:32.809 Error: Router not found for request /apis?timeout=32s
14:55:32.811 Error: Router not found for request /api?timeout=32s
14:55:32.812 Error: Router not found for request /apis?timeout=32s
14:55:32.815 Error: Router not found for request /api?timeout=32s
14:55:32.817 Error: Router not found for request /apis?timeout=32s
14:55:32.818 Error: Router not found for request /api?timeout=32s
14:55:32.819 Error: Router not found for request /apis?timeout=32s
14:55:34.895 Error: Router not found for request /api?timeout=32s
14:55:34.897 Error: Router not found for request /apis?timeout=32s
14:55:34.898 Error: Router not found for request /api?timeout=32s
14:55:34.907 Error: Router not found for request /apis?timeout=32s
14:55:34.909 Error: Router not found for request /api?timeout=32s
14:55:34.910 Error: Router not found for request /apis?timeout=32s
14:55:34.911 Error: Router not found for request /api?timeout=32s
14:55:34.912 Error: Router not found for request /apis?timeout=32s
14:55:34.913 Error: Router not found for request /api?timeout=32s
14:55:34.915 Error: Router not found for request /apis?timeout=32s
14:55:37.012 Error: Router not found for request /api?timeout=32s
14:55:37.014 Error: Router not found for request /apis?timeout=32s
14:55:37.015 Error: Router not found for request /api?timeout=32s
14:55:37.027 Error: Router not found for request /apis?timeout=32s
14:55:37.032 Error: Router not found for request /api?timeout=32s
14:55:37.037 Error: Router not found for request /apis?timeout=32s
14:55:37.043 Error: Router not found for request /api?timeout=32s
14:55:37.049 Error: Router not found for request /apis?timeout=32s
14:55:37.054 Error: Router not found for request /api?timeout=32s
14:55:37.055 Error: Router not found for request /apis?timeout=32s
14:55:39.151 Error: Router not found for request /api?timeout=32s
14:55:39.152 Error: Router not found for request /apis?timeout=32s
14:55:39.153 Error: Router not found for request /api?timeout=32s
14:55:39.166 Error: Router not found for request /apis?timeout=32s
14:55:39.171 Error: Router not found for request /api?timeout=32s
14:55:39.175 Error: Router not found for request /apis?timeout=32s
14:55:39.178 Error: Router not found for request /api?timeout=32s
14:55:39.179 Error: Router not found for request /apis?timeout=32s
14:55:39.180 Error: Router not found for request /api?timeout=32s
14:55:39.182 Error: Router not found for request /apis?timeout=32s
14:55:41.261 Error: Router not found for request /api?timeout=32s
14:55:41.263 Error: Router not found for request /apis?timeout=32s
14:55:41.264 Error: Router not found for request /api?timeout=32s
14:55:41.265 Error: Router not found for request /apis?timeout=32s
14:55:41.266 Error: Router not found for request /api?timeout=32s
14:55:41.268 Error: Router not found for request /apis?timeout=32s
14:55:41.269 Error: Router not found for request /api?timeout=32s
14:55:41.271 Error: Router not found for request /apis?timeout=32s
14:55:41.272 Error: Router not found for request /api?timeout=32s
14:55:41.273 Error: Router not found for request /apis?timeout=32s
14:55:43.351 Error: Router not found for request /api?timeout=32s
14:55:43.352 Error: Router not found for request /apis?timeout=32s
14:55:43.353 Error: Router not found for request /api?timeout=32s
14:55:43.355 Error: Router not found for request /apis?timeout=32s
14:55:43.356 Error: Router not found for request /api?timeout=32s
14:55:43.358 Error: Router not found for request /apis?timeout=32s
14:55:43.359 Error: Router not found for request /api?timeout=32s
14:55:43.360 Error: Router not found for request /apis?timeout=32s
14:55:43.361 Error: Router not found for request /api?timeout=32s
14:55:43.362 Error: Router not found for request /apis?timeout=32s
14:55:45.433 Error: Router not found for request /api?timeout=32s
14:55:45.435 Error: Router not found for request /apis?timeout=32s
14:55:45.436 Error: Router not found for request /api?timeout=32s
14:55:45.446 Error: Router not found for request /apis?timeout=32s
14:55:45.447 Error: Router not found for request /api?timeout=32s
14:55:45.448 Error: Router not found for request /apis?timeout=32s
14:55:45.449 Error: Router not found for request /api?timeout=32s
14:55:45.451 Error: Router not found for request /apis?timeout=32s
14:55:45.452 Error: Router not found for request /api?timeout=32s
14:55:45.453 Error: Router not found for request /apis?timeout=32s
14:55:47.547 Error: Router not found for request /api?timeout=32s
14:55:47.549 Error: Router not found for request /apis?timeout=32s
14:55:47.550 Error: Router not found for request /api?timeout=32s
14:55:47.561 Error: Router not found for request /apis?timeout=32s
14:55:47.567 Error: Router not found for request /api?timeout=32s
14:55:47.571 Error: Router not found for request /apis?timeout=32s
14:55:47.572 Error: Router not found for request /api?timeout=32s
14:55:47.574 Error: Router not found for request /apis?timeout=32s
14:55:47.575 Error: Router not found for request /api?timeout=32s
14:55:47.576 Error: Router not found for request /apis?timeout=32s
14:55:48.655 200 GET /api/health-check with 15 bytes took 1ms
14:55:49.686 Error: Router not found for request /api?timeout=32s
14:55:49.689 Error: Router not found for request /apis?timeout=32s
14:55:49.692 Error: Router not found for request /api?timeout=32s
14:55:49.694 Error: Router not found for request /apis?timeout=32s
14:55:49.697 Error: Router not found for request /api?timeout=32s
14:55:49.700 Error: Router not found for request /apis?timeout=32s
14:55:49.702 Error: Router not found for request /api?timeout=32s
14:55:49.705 Error: Router not found for request /apis?timeout=32s
14:55:49.709 Error: Router not found for request /api?timeout=32s
14:55:49.712 Error: Router not found for request /apis?timeout=32s
14:55:51.793 Error: Router not found for request /api?timeout=32s
14:55:51.794 Error: Router not found for request /apis?timeout=32s
14:55:51.796 Error: Router not found for request /api?timeout=32s
14:55:51.807 Error: Router not found for request /apis?timeout=32s
14:55:51.813 Error: Router not found for request /api?timeout=32s
14:55:51.818 Error: Router not found for request /apis?timeout=32s
14:55:51.819 Error: Router not found for request /api?timeout=32s
14:55:51.821 Error: Router not found for request /apis?timeout=32s
14:55:51.822 Error: Router not found for request /api?timeout=32s
14:55:51.823 Error: Router not found for request /apis?timeout=32s
14:55:53.901 Error: Router not found for request /api?timeout=32s
14:55:53.903 Error: Router not found for request /apis?timeout=32s
14:55:53.904 Error: Router not found for request /api?timeout=32s
14:55:53.912 Error: Router not found for request /apis?timeout=32s
14:55:53.913 Error: Router not found for request /api?timeout=32s
14:55:53.914 Error: Router not found for request /apis?timeout=32s
14:55:53.916 Error: Router not found for request /api?timeout=32s
14:55:53.917 Error: Router not found for request /apis?timeout=32s
14:55:53.918 Error: Router not found for request /api?timeout=32s
14:55:53.919 Error: Router not found for request /apis?timeout=32s
14:55:55.998 Error: Router not found for request /api?timeout=32s
14:55:55.999 Error: Router not found for request /apis?timeout=32s
14:55:56.000 Error: Router not found for request /api?timeout=32s
14:55:56.002 Error: Router not found for request /apis?timeout=32s
14:55:56.003 Error: Router not found for request /api?timeout=32s
14:55:56.005 Error: Router not found for request /apis?timeout=32s
14:55:56.006 Error: Router not found for request /api?timeout=32s
14:55:56.007 Error: Router not found for request /apis?timeout=32s
14:55:56.008 Error: Router not found for request /api?timeout=32s
14:55:56.009 Error: Router not found for request /apis?timeout=32s
14:55:58.086 Error: Router not found for request /api?timeout=32s
14:55:58.088 Error: Router not found for request /apis?timeout=32s
14:55:58.089 Error: Router not found for request /api?timeout=32s
14:55:58.098 Error: Router not found for request /apis?timeout=32s
14:55:58.099 Error: Router not found for request /api?timeout=32s
14:55:58.100 Error: Router not found for request /apis?timeout=32s
14:55:58.101 Error: Router not found for request /api?timeout=32s
14:55:58.102 Error: Router not found for request /apis?timeout=32s
14:55:58.103 Error: Router not found for request /api?timeout=32s
14:55:58.104 Error: Router not found for request /apis?timeout=32s
14:56:00.199 Error: Router not found for request /api?timeout=32s
14:56:00.200 Error: Router not found for request /apis?timeout=32s
14:56:00.202 Error: Router not found for request /api?timeout=32s
14:56:00.210 Error: Router not found for request /apis?timeout=32s
14:56:00.212 Error: Router not found for request /api?timeout=32s
14:56:00.213 Error: Router not found for request /apis?timeout=32s
14:56:00.214 Error: Router not found for request /api?timeout=32s
14:56:00.215 Error: Router not found for request /apis?timeout=32s
14:56:00.216 Error: Router not found for request /api?timeout=32s
14:56:00.217 Error: Router not found for request /apis?timeout=32s
14:56:02.283 Error: Router not found for request /api?timeout=32s
14:56:02.286 Error: Router not found for request /apis?timeout=32s
14:56:02.287 Error: Router not found for request /api?timeout=32s
14:56:02.295 Error: Router not found for request /apis?timeout=32s
14:56:02.296 Error: Router not found for request /api?timeout=32s
14:56:02.298 Error: Router not found for request /apis?timeout=32s
14:56:02.299 Error: Router not found for request /api?timeout=32s
14:56:02.300 Error: Router not found for request /apis?timeout=32s
14:56:02.301 Error: Router not found for request /api?timeout=32s
14:56:02.302 Error: Router not found for request /apis?timeout=32s
14:56:04.379 Error: Router not found for request /api?timeout=32s
14:56:04.380 Error: Router not found for request /apis?timeout=32s
14:56:04.381 Error: Router not found for request /api?timeout=32s
14:56:04.391 Error: Router not found for request /apis?timeout=32s
14:56:04.392 Error: Router not found for request /api?timeout=32s
14:56:04.393 Error: Router not found for request /apis?timeout=32s
14:56:04.395 Error: Router not found for request /api?timeout=32s
14:56:04.396 Error: Router not found for request /apis?timeout=32s
14:56:04.397 Error: Router not found for request /api?timeout=32s
14:56:04.398 Error: Router not found for request /apis?timeout=32s
14:56:06.477 Error: Router not found for request /api?timeout=32s
14:56:06.489 Error: Router not found for request /apis?timeout=32s
14:56:06.494 Error: Router not found for request /api?timeout=32s
14:56:06.495 Error: Router not found for request /apis?timeout=32s
14:56:06.497 Error: Router not found for request /api?timeout=32s
14:56:06.498 Error: Router not found for request /apis?timeout=32s
14:56:06.499 Error: Router not found for request /api?timeout=32s
14:56:06.500 Error: Router not found for request /apis?timeout=32s
14:56:06.501 Error: Router not found for request /api?timeout=32s
14:56:06.503 Error: Router not found for request /apis?timeout=32s
14:56:08.579 Error: Router not found for request /api?timeout=32s
14:56:08.581 Error: Router not found for request /apis?timeout=32s
14:56:08.582 Error: Router not found for request /api?timeout=32s
14:56:08.591 Error: Router not found for request /apis?timeout=32s
14:56:08.592 Error: Router not found for request /api?timeout=32s
14:56:08.594 Error: Router not found for request /apis?timeout=32s
14:56:08.595 Error: Router not found for request /api?timeout=32s
14:56:08.597 Error: Router not found for request /apis?timeout=32s
14:56:08.598 Error: Router not found for request /api?timeout=32s
14:56:08.599 Error: Router not found for request /apis?timeout=32s
14:56:10.676 Error: Router not found for request /api?timeout=32s
14:56:10.677 Error: Router not found for request /apis?timeout=32s
14:56:10.678 Error: Router not found for request /api?timeout=32s
14:56:10.688 Error: Router not found for request /apis?timeout=32s
14:56:10.689 Error: Router not found for request /api?timeout=32s
14:56:10.690 Error: Router not found for request /apis?timeout=32s
14:56:10.691 Error: Router not found for request /api?timeout=32s
14:56:10.693 Error: Router not found for request /apis?timeout=32s
14:56:10.694 Error: Router not found for request /api?timeout=32s
14:56:10.695 Error: Router not found for request /apis?timeout=32s
14:56:12.773 Error: Router not found for request /api?timeout=32s
14:56:12.774 Error: Router not found for request /apis?timeout=32s
14:56:12.775 Error: Router not found for request /api?timeout=32s
14:56:12.776 Error: Router not found for request /apis?timeout=32s
14:56:12.778 Error: Router not found for request /api?timeout=32s
14:56:12.779 Error: Router not found for request /apis?timeout=32s
14:56:12.780 Error: Router not found for request /api?timeout=32s
14:56:12.781 Error: Router not found for request /apis?timeout=32s
14:56:12.782 Error: Router not found for request /api?timeout=32s
14:56:12.783 Error: Router not found for request /apis?timeout=32s
14:56:14.859 Error: Router not found for request /api?timeout=32s
14:56:14.861 Error: Router not found for request /apis?timeout=32s
14:56:14.862 Error: Router not found for request /api?timeout=32s
14:56:14.874 Error: Router not found for request /apis?timeout=32s
14:56:14.878 Error: Router not found for request /api?timeout=32s
14:56:14.880 Error: Router not found for request /apis?timeout=32s
14:56:14.881 Error: Router not found for request /api?timeout=32s
14:56:14.882 Error: Router not found for request /apis?timeout=32s
14:56:14.883 Error: Router not found for request /api?timeout=32s
14:56:14.884 Error: Router not found for request /apis?timeout=32s
14:56:16.984 Error: Router not found for request /api?timeout=32s
14:56:16.985 Error: Router not found for request /apis?timeout=32s
14:56:16.986 Error: Router not found for request /api?timeout=32s
14:56:16.999 Error: Router not found for request /apis?timeout=32s
14:56:17.004 Error: Router not found for request /api?timeout=32s
14:56:17.006 Error: Router not found for request /apis?timeout=32s
14:56:17.007 Error: Router not found for request /api?timeout=32s
14:56:17.008 Error: Router not found for request /apis?timeout=32s
14:56:17.010 Error: Router not found for request /api?timeout=32s
14:56:17.011 Error: Router not found for request /apis?timeout=32s
14:56:18.814 200 GET /api/health-check with 15 bytes took 0ms
14:56:19.109 Error: Router not found for request /api?timeout=32s
14:56:19.112 Error: Router not found for request /apis?timeout=32s
14:56:19.114 Error: Router not found for request /api?timeout=32s
14:56:19.122 Error: Router not found for request /apis?timeout=32s
14:56:19.124 Error: Router not found for request /api?timeout=32s
14:56:19.126 Error: Router not found for request /apis?timeout=32s
14:56:19.127 Error: Router not found for request /api?timeout=32s
14:56:19.128 Error: Router not found for request /apis?timeout=32s
14:56:19.130 Error: Router not found for request /api?timeout=32s
14:56:19.131 Error: Router not found for request /apis?timeout=32s
14:56:21.210 Error: Router not found for request /api?timeout=32s
14:56:21.211 Error: Router not found for request /apis?timeout=32s
14:56:21.212 Error: Router not found for request /api?timeout=32s
14:56:21.221 Error: Router not found for request /apis?timeout=32s
14:56:21.223 Error: Router not found for request /api?timeout=32s
14:56:21.224 Error: Router not found for request /apis?timeout=32s
14:56:21.225 Error: Router not found for request /api?timeout=32s
14:56:21.227 Error: Router not found for request /apis?timeout=32s
14:56:21.228 Error: Router not found for request /api?timeout=32s
14:56:21.231 Error: Router not found for request /apis?timeout=32s
14:56:23.305 Error: Router not found for request /api?timeout=32s
14:56:23.306 Error: Router not found for request /apis?timeout=32s
14:56:23.307 Error: Router not found for request /api?timeout=32s
14:56:23.316 Error: Router not found for request /apis?timeout=32s
14:56:23.318 Error: Router not found for request /api?timeout=32s
14:56:23.319 Error: Router not found for request /apis?timeout=32s
14:56:23.320 Error: Router not found for request /api?timeout=32s
14:56:23.321 Error: Router not found for request /apis?timeout=32s
14:56:23.322 Error: Router not found for request /api?timeout=32s
14:56:23.324 Error: Router not found for request /apis?timeout=32s
14:56:25.414 Error: Router not found for request /api?timeout=32s
14:56:25.416 Error: Router not found for request /apis?timeout=32s
14:56:25.417 Error: Router not found for request /api?timeout=32s
14:56:25.426 Error: Router not found for request /apis?timeout=32s
14:56:25.427 Error: Router not found for request /api?timeout=32s
14:56:25.428 Error: Router not found for request /apis?timeout=32s
14:56:25.429 Error: Router not found for request /api?timeout=32s
14:56:25.431 Error: Router not found for request /apis?timeout=32s
14:56:25.432 Error: Router not found for request /api?timeout=32s
14:56:25.433 Error: Router not found for request /apis?timeout=32s
14:56:27.509 Error: Router not found for request /api?timeout=32s
14:56:27.510 Error: Router not found for request /apis?timeout=32s
14:56:27.511 Error: Router not found for request /api?timeout=32s
14:56:27.520 Error: Router not found for request /apis?timeout=32s
14:56:27.522 Error: Router not found for request /api?timeout=32s
14:56:27.523 Error: Router not found for request /apis?timeout=32s
14:56:27.524 Error: Router not found for request /api?timeout=32s
14:56:27.525 Error: Router not found for request /apis?timeout=32s
14:56:27.526 Error: Router not found for request /api?timeout=32s
14:56:27.528 Error: Router not found for request /apis?timeout=32s
14:56:29.602 Error: Router not found for request /api?timeout=32s
14:56:29.604 Error: Router not found for request /apis?timeout=32s
14:56:29.606 Error: Router not found for request /api?timeout=32s
14:56:29.607 Error: Router not found for request /apis?timeout=32s
14:56:29.608 Error: Router not found for request /api?timeout=32s
14:56:29.609 Error: Router not found for request /apis?timeout=32s
14:56:29.611 Error: Router not found for request /api?timeout=32s
14:56:29.612 Error: Router not found for request /apis?timeout=32s
14:56:29.613 Error: Router not found for request /api?timeout=32s
14:56:29.614 Error: Router not found for request /apis?timeout=32s
14:56:31.683 Error: Router not found for request /api?timeout=32s
14:56:31.685 Error: Router not found for request /apis?timeout=32s
